Alimento,CDR,,,,25,800,14,150,375,10,<2300,2000,1,55,"1,1","1,4",16,"1,4",200,"2,5",80,800,-,-,5,12,75,20,,,
,Calorías,Proteína,Grasa,Carbohidratos,Fibra,Calcio (mg),Hierro (mg),Yodo (µg),Magnesio (mg),Zinc (mg),Sodio (mg),Potasio (mg),Cobre (mg),Selenio (µg),Tiamina (mg),Riboflavina (mg),Equivalentes de niacina (mg),Vitamina B6 (mg),Ácido Fólico (µg),Vitamina B12 (µg),Vitamina C (mg),Vitamina A (µg),Retinol (µg),Carotenos (µg),Vitamina D (µg),Vitamina E (mg),Vitamina K (µg),AGS,AGM,AGP,Colesterol
Arroz,"364,00","6,70","0,90","81,60","1,40","14,00","0,80","14,00","31,00","1,50","3,90","109,00","2,00","7,00","0,05","0,04","4,90","0,20","20,00","0,00","20,00","0,00","0,00","0,00","0,00","0,08","1,00","0,19","0,23","0,32","0,00"
Arroz blanco de cocción rápida,"349,00","6,90","0,60","78,20","1,40","34,00","1,40","14,00","31,00","1,80","4,00","150,00","0,37","10,00","0,22","0,06","4,70","0,38","20,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","1,00","0,15","0,17","0,20","0,00"
Arroz integral,"350,00","7,30","2,20","74,10","2,20","21,00","1,70","2,20","110,00","1,60","10,00","238,00","0,29","10,00","0,41","0,09","6,60","0,28","49,00","0,00","0,00","0,00","0,00","0,00","0,00","0,74","1,00","0,61","0,55","0,81","0,00"
Arroz salvaje,"356,00","14,70","1,10","68,70","6,20","21,00","2,00","10,00","177,00","6,00","7,00","427,00","0,00","2,80","0,12","0,26","6,70","0,39","95,00","0,00","0,00","1,80","0,00","11,00","0,00","0,82","0,00","0,16","0,16","0,68","0,00"
Avena,"353,00","11,70","7,10","55,70","9,70","80,00","5,80","7,70","129,00","3,20","8,40","355,00","0,42","7,10","0,67","0,17","3,40","0,96","33,00","0,00","0,00","0,00","0,00","0,00","0,00","0,84","50,00","1,50","2,60","2,90","0,00"
Bulgur,"344,00","12,30","1,30","64,50","12,50","35,00","2,50","0,00","164,00","1,90","17,00","410,00","0,00","2,30","0,23","0,12","5,10","0,34","27,00","0,00","0,00","0,00","0,00","5,00","0,00","0,06","0,00","0,00","0,00","0,00","0,00"
Cebada,"330,00","9,90","1,20","62,10","15,60","29,00","2,50","0,00","79,00","2,10","9,00","280,00","0,42","37,70","0,19","0,11","4,60","0,26","23,00","0,00","0,00","2,20","0,00","13,00","0,00","0,02","2,20","0,24","0,15","0,56","0,00"
Centeno,"372,00","14,80","2,50","65,20","14,60","33,00","2,70","10,00","121,00","3,70","6,00","264,00","0,45","35,30","0,32","0,25","4,30","0,29","38,00","0,00","0,00","1,20","0,00","7,00","0,00","1,90","5,90","0,29","0,30","1,10","0,00"
Fécula de maíz,"356,00","0,41","0,08","88,00","0,60","1,00","0,50","2,50","2,00","0,30","3,00","7,00","0,05","2,80","0,00","0,01","0,03","0,01","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,01","0,02","0,03","0,00"
Germen de trigo,"355,00","28,60","9,20","30,60","17,70","49,00","8,50","10,00","285,00","17,00","5,00","993,00","1,10","3,00","2,00","0,72","9,20","0,49","520,00","0,00","0,00","10,30","0,00","62,00","0,00","24,40","131,00","1,20","1,20","4,00","0,00"
"Gofio canario, tostado","356,00","10,10","2,70","64,80","16,20","16,80","6,80","0,00","103,00","0,70","214,00","136,00","0,00","0,00","0,21","0,04","4,60","0,30","25,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00","0,31","0,36","1,20","0,00"
Harina de arroz,"349,00","7,60","0,70","78,00","0,00","10,00","0,35","0,00","35,00","0,80","0,00","76,00","0,00","0,00","0,14","0,02","2,60","0,44","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,11","0,00","0,20","0,22","0,19","0,00"
Harina de centeno,"326,00","10,00","1,90","59,70","15,00","27,00","2,60","0,00","82,00","3,00","2,00","390,00","0,00","14,40","0,30","0,20","1,60","0,30","70,00","0,00","0,00","0,00","0,00","0,00","0,00","1,50","0,00","0,24","0,20","0,85","0,00"
Harina de maíz,"342,00","8,30","2,80","66,30","9,40","18,00","2,40","80,00","47,00","1,60","0,70","120,00","0,13","15,40","0,44","0,13","0,82","0,06","10,00","0,00","0,00","50,00","0,00","300,00","0,00","0,00","1,00","0,35","0,88","1,40","0,00"
Harina de trigo,"341,00","9,90","1,20","70,60","4,30","17,00","1,00","10,00","23,00","0,78","2,00","146,00","0,14","4,00","0,11","0,03","2,30","0,10","16,00","0,00","0,00","0,17","0,00","1,00","0,00","0,34","32,70","0,16","0,13","0,51","0,00"
Harina integral de trigo,"322,00","12,70","2,20","58,30","9,00","38,00","3,90","0,00","120,00","2,90","3,00","340,00","0,45","53,00","0,47","0,09","8,20","0,50","57,00","0,00","0,00","0,00","0,00","0,00","0,00","1,40","65,50","0,28","0,21","0,89","0,00"
Maíz en grano hervido en lata,"102,00","3,30","1,30","18,20","2,30","3,00","0,60","1,00","22,00","0,30","288,00","200,00","0,05","0,80","0,04","0,08","1,80","0,09","33,00","0,00","1,00","13,00","0,00","0,00","0,00","0,45","1,00","0,20","0,37","0,60","0,00"
Maíz en mazorca crudo,"346,00","8,60","3,80","64,70","9,20","7,00","2,40","2,00","93,00","1,70","6,00","330,00","0,23","15,40","0,36","0,20","1,50","0,40","26,00","0,00","0,00","21,40","0,00","129,00","0,00","1,10","1,00","0,57","1,00","1,50","0,00"
Maíz en mazorca hervido,"110,00","3,40","1,50","18,60","4,20","3,00","0,60","1,00","33,00","0,30","17,00","251,00","0,05","0,70","0,22","0,07","2,00","0,10","31,00","0,00","7,00","26,30","0,00","158,00","0,00","0,70","1,00","0,20","0,40","0,60","0,00"
Mijo,"356,00","11,00","4,20","64,40","8,50","8,00","3,00","2,50","114,00","1,70","5,00","195,00","0,75","2,70","0,42","0,30","4,70","0,38","85,00","0,00","0,00","0,00","0,00","0,00","0,00","0,41","0,90","0,72","0,77","2,10","0,00"
Polenta cocinada,"61,80","1,40","0,31","13,20","0,29","8,90","1,00","10,00","8,30","1,00","3,00","26,70","0,00","5,00","0,05","0,05","0,00","0,05","13,00","0,00","0,00","8,30","0,00","50,00","0,00","0,07","0,00","0,03","0,09","0,17","0,05"
"Polenta, harina","350,00","7,90","1,80","74,00","3,20","1,60","1,00","10,00","35,00","1,00","1,70","144,00","0,00","5,00","0,07","0,06","0,05","0,08","35,00","0,00","0,00","8,30","0,00","50,00","0,00","0,01","0,00","0,22","0,52","0,97","0,00"
Quinoa,"354,00","14,10","6,10","57,20","7,00","0,33","4,60","0,00","197,00","3,10","5,00","563,00","0,59","8,50","0,36","0,32","1,50","0,49","184,00","0,00","0,00","1,40","0,00","8,50","0,00","2,90","0,00","0,71","1,60","3,30","0,00"
Salvado de avena,"319,00","12,30","7,40","33,80","34,10","58,00","5,40","0,00","235,00","3,10","4,00","566,00","0,40","45,20","1,20","0,22","6,50","0,17","52,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","3,20","1,40","2,50","3,00","0,00"
Salvado de trigo,"274,00","15,60","4,30","21,70","42,80","73,00","10,60","0,00","611,00","7,30","2,00","1.182,00","1,00","77,60","0,52","0,58","18,30","1,30","79,00","0,00","0,00","0,00","0,00","0,00","0,00","2,30","131,00","0,63","0,64","2,20","0,00"
Sémola de trigo,"351,00","12,70","1,10","69,00","7,20","17,00","1,20","5,10","47,00","1,10","1,00","186,00","0,19","2,50","0,28","0,08","6,00","0,10","72,00","0,00","0,00","0,00","0,00","0,00","0,00","0,26","98,20","0,15","0,12","0,43","0,00"
Barrita de cereales con frutas rojas,"392,00","8,00","5,00","78,00","1,50","0,00","11,00","0,00","0,00","0,00","260,00","0,00","0,00","0,00","1,10","1,30","15,00","1,60","165,00","0,80","0,00","1,80","0,00","11,00","0,00","0,00","0,00","2,00","0,05","0,10","0,00"
Barrita de cereales con melocotón y albaricoque,"403,00","7,00","7,00","77,00","2,00","0,00","10,00","0,00","0,00","0,00","300,00","0,00","0,00","0,00","1,00","1,20","13,00","1,40","145,00","0,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","0,86","3,20","0,00"
Barrita de cereales con pepitas de chocolate,"350,00","9,00","7,00","62,00","1,50","0,00","11,00","0,00","0,00","0,00","260,00","0,00","0,00","0,00","1,10","1,30","15,00","1,60","165,00","0,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,50","2,20","0,29","0,00"
Barrita de cereales integrales,"393,00","8,00","6,00","76,00","1,50","0,00","5,90","20,00","0,00","0,00","350,00","0,00","0,00","0,00","1,20","1,30","15,10","1,70","168,00","0,84","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,00","0,00","0,00","0,00"
Barrita de fibra y chocolate,"414,00","7,00","16,00","51,00","19,00","0,00","6,00","0,00","0,00","0,00","650,00","0,00","0,00","0,00","0,90","1,00","11,30","1,30","126,00","0,63","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,00","5,70","0,74","0,00"
Bizcocho de fruta y fibra,"383,00","4,00","13,00","58,00","9,00","0,00","6,00","0,00","0,00","0,00","260,00","0,00","1,00","0,00","0,90","1,00","11,30","1,30","126,00","0,63","0,00","7,70","7,00","4,00","0,00","0,00","0,00","1,50","6,70","3,40","0,00"
